trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
14,False,"{'a': 0.8, 'e': 0.9299999999999999}",30,0,-83.77672829408351,"{0: 20, 1: 2, 2: 7, 3: 1, 4: 0}",0
15,False,"{'a': 0.8, 'e': 0.9249999999999999}",20,0,-126.31577733459687,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.8, 'e': 0.9199999999999999}",20,2,-74.84734303722816,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 0}",1
17,False,"{'a': 0.8, 'e': 0.9149999999999999}",25,0,-82.71617840505334,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.8, 'e': 0.9099999999999999}",25,0,-121.50128386575277,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
19,False,"{'a': 0.8, 'e': 0.9049999999999999}",20,0,-38.43696525212219,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.8, 'e': 0.8999999999999999}",20,0,-260.0180778701892,"{0: 7, 1: 3, 2: 5, 3: 0, 4: 5}",0
21,False,"{'a': 0.8, 'e': 0.8949999999999999}",20,0,-33.43830478741884,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
22,False,"{'a': 0.8, 'e': 0.8899999999999999}",20,0,-45.45401568494732,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
23,False,"{'a': 0.8, 'e': 0.8849999999999999}",20,0,-77.99098935982539,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
24,False,"{'a': 0.8, 'e': 0.8799999999999999}",35,0,-63.47786413926588,"{0: 26, 1: 4, 2: 3, 3: 2, 4: 0}",0
25,False,"{'a': 0.8, 'e': 0.8749999999999999}",35,0,-175.5145932499541,"{0: 20, 1: 3, 2: 10, 3: 0, 4: 2}",0
26,False,"{'a': 0.8, 'e': 0.8699999999999999}",20,10,-14.196567536022055,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
27,False,"{'a': 0.8, 'e': 0.8649999999999999}",20,8,-109.41793386402324,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 2}",1
28,False,"{'a': 0.8, 'e': 0.8599999999999999}",20,0,-113.13474388389677,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
29,False,"{'a': 0.8, 'e': 0.8549999999999999}",35,20,-53.37292281752122,"{0: 9, 1: 2, 2: 2, 3: 2, 4: 0}",1
30,False,"{'a': 0.8, 'e': 0.8499999999999999}",25,0,-75.95547780805217,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
31,False,"{'a': 0.8, 'e': 0.8449999999999999}",25,0,-56.17997255094564,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
32,False,"{'a': 0.8, 'e': 0.8399999999999999}",30,15,-60.68167839304532,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 1}",1
33,False,"{'a': 0.8, 'e': 0.8349999999999999}",25,0,-163.29860292456038,"{0: 18, 1: 1, 2: 0, 3: 3, 4: 3}",0
34,False,"{'a': 0.8, 'e': 0.8299999999999998}",20,3,-31.75045312224757,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 0}",1
35,False,"{'a': 0.8, 'e': 0.8249999999999998}",20,0,-56.72001325769827,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
36,False,"{'a': 0.8, 'e': 0.8199999999999998}",20,0,-58.85921462436552,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
37,False,"{'a': 0.8, 'e': 0.8149999999999998}",25,0,-74.83225475373465,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
38,False,"{'a': 0.8, 'e': 0.8099999999999998}",25,0,-93.19368484330937,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
39,False,"{'a': 0.8, 'e': 0.8049999999999998}",20,0,-58.51832335306706,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
40,False,"{'a': 0.8, 'e': 0.7999999999999998}",30,15,-32.94103414185423,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 1}",1
41,False,"{'a': 0.8, 'e': 0.7949999999999998}",30,12,-33.40576045371658,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 0}",1
42,False,"{'a': 0.8, 'e': 0.7899999999999998}",20,9,-124.22451530566798,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 3}",1
43,False,"{'a': 0.8, 'e': 0.7849999999999998}",20,10,-39.95654863911827,"{0: 6, 1: 2, 2: 0, 3: 2, 4: 0}",1
44,False,"{'a': 0.8, 'e': 0.7799999999999998}",20,0,-23.577704703937123,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
45,False,"{'a': 0.8, 'e': 0.7749999999999998}",20,5,-14.376438484531846,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
46,False,"{'a': 0.8, 'e': 0.7699999999999998}",20,0,-52.7916544357578,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
47,False,"{'a': 0.8, 'e': 0.7649999999999998}",25,0,-118.57488211445951,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
48,False,"{'a': 0.8, 'e': 0.7599999999999998}",25,0,-107.92220529851961,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
49,False,"{'a': 0.8, 'e': 0.7549999999999998}",25,15,-17.30590631406191,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
50,False,"{'a': 0.8, 'e': 0.7499999999999998}",20,0,-51.25081786110137,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
51,False,"{'a': 0.8, 'e': 0.7449999999999998}",30,12,-88.4387914954802,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 2}",1
52,False,"{'a': 0.8, 'e': 0.7399999999999998}",25,0,-127.73107709302558,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
53,False,"{'a': 0.8, 'e': 0.7349999999999998}",30,8,-64.28010271314186,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 1}",1
54,False,"{'a': 0.8, 'e': 0.7299999999999998}",20,0,-35.89184589006716,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
55,False,"{'a': 0.8, 'e': 0.7249999999999998}",25,0,-81.6065652290416,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
56,False,"{'a': 0.8, 'e': 0.7199999999999998}",25,0,-93.22541831870608,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
57,False,"{'a': 0.8, 'e': 0.7149999999999997}",20,0,-130.7941411263698,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",1
58,False,"{'a': 0.8, 'e': 0.7099999999999997}",20,0,-88.35880110398547,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
59,False,"{'a': 0.8, 'e': 0.7049999999999997}",25,0,-119.52989752208079,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
60,False,"{'a': 0.8, 'e': 0.6999999999999997}",25,1,-101.76999799403058,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 2}",1
61,False,"{'a': 0.8, 'e': 0.6949999999999997}",30,6,-63.09059719028389,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 1}",1
